Iteration;Best Fitness;Average Fitness;Worst Fitness
1;-10179.921039718805;-33932.139386826115;-38563.89995361451
2;-10179.921039718805;-22987.50455797578;-34405.97101368202
3;-10179.921039718805;-12902.039947463285;-16545.439334776984
4;-9238.306810652393;-10803.978722986134;-11578.82693394493
5;-9238.306810652393;-10132.750817576707;-10179.921039718805
6;-9238.306810652393;-10045.20316570037;-10179.921039718805
7;-8941.450408180808;-9757.835118365278;-10073.318197768129
8;-8941.450408180808;-9381.671075662196;-9631.409233584249
9;-8941.450408180808;-9194.457090313454;-9238.306810652393
10;-8941.450408180808;-9103.722050949704;-9238.306810652393
11;-8941.450408180808;-8941.450408180808;-8941.450408180808
12;-8941.450408180808;-8941.450408180808;-8941.450408180808
13;-8941.450408180808;-8941.450408180808;-8941.450408180808
14;-8941.450408180808;-8941.450408180808;-8941.450408180808
15;-8941.450408180808;-8941.450408180808;-8941.450408180808
16;-8941.450408180808;-8941.450408180808;-8941.450408180808
17;-8941.450408180808;-8941.450408180808;-8941.450408180808
18;-8941.450408180808;-8941.450408180808;-8941.450408180808
19;-8941.450408180808;-8941.450408180808;-8941.450408180808
20;-8941.450408180808;-8941.450408180808;-8941.450408180808
21;-8941.450408180808;-8941.450408180808;-8941.450408180808
22;-8941.450408180808;-8941.450408180808;-8941.450408180808
23;-8941.450408180808;-8941.450408180808;-8941.450408180808
24;-8941.450408180808;-8941.450408180808;-8941.450408180808
25;-8941.450408180808;-8941.450408180808;-8941.450408180808
26;-8941.450408180808;-8941.450408180808;-8941.450408180808
27;-8941.450408180808;-8941.450408180808;-8941.450408180808
28;-8941.450408180808;-8941.450408180808;-8941.450408180808
29;-8941.450408180808;-8941.450408180808;-8941.450408180808
30;-8941.450408180808;-8941.450408180808;-8941.450408180808
31;-8941.450408180808;-8941.450408180808;-8941.450408180808
32;-8941.450408180808;-8941.450408180808;-8941.450408180808
33;-8941.450408180808;-8941.450408180808;-8941.450408180808
34;-8941.450408180808;-8941.450408180808;-8941.450408180808
35;-8941.450408180808;-8941.450408180808;-8941.450408180808
36;-8941.450408180808;-8941.450408180808;-8941.450408180808
37;-8941.450408180808;-8941.450408180808;-8941.450408180808
38;-8941.450408180808;-8941.450408180808;-8941.450408180808
39;-8941.450408180808;-8941.450408180808;-8941.450408180808
40;-8941.450408180808;-8941.450408180808;-8941.450408180808
41;-8941.450408180808;-8941.450408180808;-8941.450408180808
42;-8941.450408180808;-8941.450408180808;-8941.450408180808
43;-8941.450408180808;-8941.450408180808;-8941.450408180808
44;-8941.450408180808;-8941.450408180808;-8941.450408180808
45;-8941.450408180808;-8941.450408180808;-8941.450408180808
46;-8941.450408180808;-8941.450408180808;-8941.450408180808
47;-8941.450408180808;-8941.450408180808;-8941.450408180808
48;-8941.450408180808;-8941.450408180808;-8941.450408180808
49;-8941.450408180808;-8941.450408180808;-8941.450408180808
50;-8941.450408180808;-8941.450408180808;-8941.450408180808
51;-8941.450408180808;-8941.450408180808;-8941.450408180808
52;-8941.450408180808;-8941.450408180808;-8941.450408180808
53;-8941.450408180808;-8941.450408180808;-8941.450408180808
54;-8941.450408180808;-8941.450408180808;-8941.450408180808
55;-8941.450408180808;-8941.450408180808;-8941.450408180808
56;-8941.450408180808;-8941.450408180808;-8941.450408180808
57;-8941.450408180808;-8941.450408180808;-8941.450408180808
58;-8941.450408180808;-8941.450408180808;-8941.450408180808
59;-8941.450408180808;-8941.450408180808;-8941.450408180808
60;-8941.450408180808;-8941.450408180808;-8941.450408180808
61;-8901.295041578258;-8941.048854514784;-8941.450408180808
62;-8901.295041578258;-8939.44263985068;-8941.450408180808
63;-8901.295041578258;-8926.99447620389;-8941.450408180808
64;-8901.295041578258;-8901.295041578258;-8901.295041578258
65;-8901.295041578258;-8901.295041578258;-8901.295041578258
66;-8901.295041578258;-8901.295041578258;-8901.295041578258
67;-8901.295041578258;-8901.295041578258;-8901.295041578258
68;-8901.295041578258;-8901.295041578258;-8901.295041578258
69;-8901.295041578258;-8901.295041578258;-8901.295041578258
70;-8901.295041578258;-8901.295041578258;-8901.295041578258
71;-8901.295041578258;-8901.295041578258;-8901.295041578258
72;-8901.295041578258;-8901.295041578258;-8901.295041578258
73;-8901.295041578258;-8901.295041578258;-8901.295041578258
74;-8901.295041578258;-8901.295041578258;-8901.295041578258
75;-8901.295041578258;-8901.295041578258;-8901.295041578258
76;-8901.295041578258;-8901.295041578258;-8901.295041578258
77;-8901.295041578258;-8901.295041578258;-8901.295041578258
78;-8901.295041578258;-8901.295041578258;-8901.295041578258
79;-8901.295041578258;-8901.295041578258;-8901.295041578258
80;-8901.295041578258;-8901.295041578258;-8901.295041578258
81;-8901.295041578258;-8901.295041578258;-8901.295041578258
82;-8901.295041578258;-8901.295041578258;-8901.295041578258
83;-8901.295041578258;-8901.295041578258;-8901.295041578258
84;-8901.295041578258;-8901.295041578258;-8901.295041578258
85;-8901.295041578258;-8901.295041578258;-8901.295041578258
86;-8901.295041578258;-8901.295041578258;-8901.295041578258
87;-8901.295041578258;-8901.295041578258;-8901.295041578258
88;-8901.295041578258;-8901.295041578258;-8901.295041578258
89;-8901.295041578258;-8901.295041578258;-8901.295041578258
90;-8901.295041578258;-8901.295041578258;-8901.295041578258
91;-8901.295041578258;-8901.295041578258;-8901.295041578258
92;-8901.295041578258;-8901.295041578258;-8901.295041578258
93;-8901.295041578258;-8901.295041578258;-8901.295041578258
94;-8901.295041578258;-8901.295041578258;-8901.295041578258
95;-8901.295041578258;-8901.295041578258;-8901.295041578258
96;-8901.295041578258;-8901.295041578258;-8901.295041578258
97;-8901.295041578258;-8901.295041578258;-8901.295041578258
98;-8901.295041578258;-8901.295041578258;-8901.295041578258
99;-8901.295041578258;-8901.295041578258;-8901.295041578258
100;-8901.295041578258;-8901.295041578258;-8901.295041578258
